customer_id,monthly_spend,contract_length_months,support_tickets,feature_usage_score,days_since_last_login,price_sensitivity_score,competitor_engagement,churn
C000000,989.67,12,3,0.259,1,0.414,0.175,1
C000001,595.49,6,3,0.491,11,0.333,0.601,0
C000002,1116.72,3,4,0.605,49,0.287,0.11,1
C000003,2249.41,3,2,0.406,2,0.482,0.493,0
C000004,551.52,12,3,0.56,24,0.211,0.578,0
C000005,551.53,3,4,0.282,6,0.441,0.104,0
C000006,2352.82,12,3,0.479,3,0.452,0.115,1
C000007,1228.99,24,3,0.315,5,0.12,0.499,0
C000008,456.88,6,6,0.552,10,0.685,0.239,0
C000009,1026.64,24,1,0.732,32,0.496,0.193,0
C000010,459.1,24,4,0.831,14,0.511,0.253,0
C000011,458.25,6,1,0.583,8,0.621,0.619,0
C000012,807.2,24,1,0.854,3,0.019,0.243,1
C000013,143.94,24,4,0.432,5,0.26,0.15,0
C000014,167.35,12,3,0.131,58,0.824,0.089,1
C000015,424.19,6,1,0.341,5,0.053,0.359,0
C000016,295.82,12,2,0.664,7,0.365,0.595,0
C000017,855.25,36,2,0.734,13,0.616,0.215,1
C000018,321.69,12,2,0.603,12,0.232,0.418,0
C000019,214.9,6,3,0.444,7,0.276,0.287,0
C000020,2148.49,12,4,0.31,0,0.185,0.349,0
C000021,555.23,12,7,0.43,34,0.204,0.166,0
C000022,702.06,12,2,0.386,1,0.552,0.6,0
C000023,212.77,24,7,0.244,31,0.368,0.272,1
C000024,430.3,12,0,0.825,7,0.382,0.189,0
C000025,726.86,24,3,0.432,48,0.419,0.214,0
C000026,264.86,24,6,0.163,13,0.422,0.057,0
C000027,898.35,12,2,0.913,0,0.299,0.38,0
C000028,411.37,6,1,0.644,14,0.248,0.061,0
C000029,526.71,24,2,0.52,48,0.194,0.153,0
C000030,411.02,36,6,0.138,0,0.594,0.117,0
C000031,2927.26,6,3,0.853,12,0.611,0.112,0
C000032,658.0,12,2,0.184,24,0.449,0.23,0
C000033,285.38,6,6,0.52,1,0.521,0.268,0
C000034,1284.39,24,3,0.607,5,0.285,0.421,0
C000035,250.47,24,1,0.914,0,0.117,0.208,0
C000036,786.11,6,3,0.385,16,0.202,0.351,1
C000037,138.69,24,4,0.306,33,0.077,0.141,0
C000038,229.86,6,5,0.864,8,0.617,0.308,0
C000039,778.59,24,5,0.384,2,0.081,0.363,0
C000040,1200.84,12,1,0.298,14,0.523,0.412,0
C000041,762.88,12,2,0.388,40,0.112,0.138,0
C000042,606.36,6,7,0.594,17,0.519,0.079,0
C000043,522.76,6,3,0.15,4,0.465,0.544,0
C000044,203.81,12,3,0.511,4,0.064,0.388,0
C000045,373.95,12,2,0.819,8,0.098,0.177,1
C000046,460.12,6,2,0.624,1,0.621,0.116,0
C000047,1549.52,6,2,0.218,15,0.626,0.147,1
C000048,875.59,3,4,0.143,71,0.636,0.519,1
C000049,162.32,24,6,0.927,32,0.368,0.335,0
C000050,862.01,24,10,0.291,15,0.556,0.03,0
C000051,488.79,3,3,0.243,50,0.6,0.468,1
C000052,387.01,12,3,0.564,17,0.131,0.492,1
C000053,1085.01,3,2,0.7,32,0.4,0.166,0
C000054,1517.47,36,2,0.333,4,0.169,0.301,0
C000055,1401.12,36,6,0.091,4,0.383,0.346,1
C000056,339.89,12,1,0.437,40,0.247,0.361,1
C000057,519.38,36,4,0.35,5,0.317,0.152,0
C000058,866.98,24,6,0.577,16,0.275,0.053,0
C000059,1451.62,24,2,0.766,4,0.625,0.436,0
C000060,453.35,12,3,0.84,18,0.531,0.185,0
C000061,573.34,12,1,0.753,12,0.55,0.214,0
C000062,274.49,6,5,0.657,34,0.472,0.305,0
C000063,255.45,12,1,0.619,29,0.212,0.167,0
C000064,1274.13,12,3,0.24,5,0.303,0.179,0
C000065,1968.43,6,3,0.337,14,0.433,0.549,0
C000066,627.91,6,4,0.409,78,0.58,0.137,1
C000067,1484.49,12,2,0.697,14,0.44,0.194,1
C000068,888.3,6,2,0.645,11,0.389,0.273,0
C000069,396.99,12,4,0.913,0,0.191,0.591,0
C000070,888.13,36,0,0.364,17,0.512,0.13,0
C000071,2276.58,24,3,0.84,57,0.375,0.261,1
C000072,646.35,12,3,0.649,47,0.46,0.204,0
